url,abstract,short_abstract,t5_sum
Jens_Jacob_Worsaae,"Jens Jacob Asmussen Worsaae (Vejle, 14 maart 1821 – Kopenhagen, 15 augustus 1885) was een Deens archeoloog.Jens Jacob Worsaae was de belangrijkste leerling van Christian Jürgensen Thomsen en staat bekend als 'de eerste professionele archeoloog'. In 1840 publiceerde hij stratigrafische en andere bewijzen die Thomsens drieperiodensysteem bevestigden, en bepaalde van vele voorwerpen de periode waartoe ze behoorden. Worsaee richtte zijn aandacht op de opeenhopingen van oesterschelpen die in die tijd op diverse plaatsen in Denemarken werden aangetroffen. Hiertussen werden vaak vreemd gevormde benen voorwerpen, potscherven en vuurstenen gevonden. Worsaae nam aan dat deze opeenhopingen afvalhopen van prehistorische mensen waren. Omdat de stenen voorwerpen veel minder geraffineerd waren dan die in Thomsens collectie, stamden ze waarschijnlijk uit een nog oudere periode dan Thomsens steentijd. Onderzoek toonde aan dat Worsaaes hypothese correct was, waarna zich een discussie ontspon over de vraag of deze daadwerkelijk, zoals Worsaae aannam, uit een ouder deel van de steentijd kwamen, of dat ze, zoals anderen beargumenteerden, tijdelijke woonplaatsen waren van steentijdmensen die hun voorwerpen van hogere kwaliteit elders hadden achtergelaten. De discussie werd in Worsaaes voordeel beslecht tijdens een gezamenlijke opgraving in aanwezigheid van koning Frederik VII in 1861. De 'afvalhopencultuur' van Worsaae staat nu bekend als deel van het paleolithicum of Oude Steentijd.","Jens Jacob Asmussen Worsaae (Vejle, 14 maart 1821 – Kopenhagen, 15 augustus 1885) was een Deens archeoloog. Jens Jacob Worsaae was de belangrijkste leerling van Christian Jürgensen Thomsen en staat bekend als 'de eerste professionele archeoloog'. In 1840 publiceerde hij stratigrafische en andere bewijzen die Thomsens drieperiodensysteem bevestigden, en bepaalde van vele voorwerpen de periode waartoe ze behoorden.","Jens Jacob Worsaae (Vejle, 14 maart 1821 – Kopenhagen, 15 augustus 1885) was de belangrijkste leerling van Christian Jürgensen Thomsen en staat bekend als 'de eerste professionele archeoloog'. Worsaae richtte zijn aandach"
Gammaflits,"Een gammaflits of gamma-ray burst (GRB) is een heftige uitbarsting van hoogenergetische gammastraling en duurt van enkele milliseconden tot enkele minuten. Men heeft geconcludeerd dat de waargenomen gammaflitsen afkomstig waren van verre sterrenstelsels. Tijdens de flits is de energie-uitstoot honderden malen meer dan de straling die afkomstig is van een supernova-uitbarsting. Men neemt aan dat de meeste waargenomen GRBs twee smalle bundels straling uitzenden in tegengestelde richtingen, waarvan er één toevallig in onze richting is. Dit betekent enerzijds dat er veel soortgelijke gebeurtenissen plaatsvinden die we niet waarnemen omdat geen van beide bundels naar ons toe gericht is, en anderzijds maakt het bij een gegeven hoeveelheid totale stralingsenergie de mogelijkheid van waarneembaarheid groter als één van de bundels toevallig wel in onze richting is. Tot omstreeks 2003 waren de flitsen een mysterie in de astronomie - meer dan honderd theorieën waren ter verklaring bedacht. Hoewel veel details nog ter discussie staan, zijn onderzoekers het de laatste jaren grotendeels eens geworden over het volgende beeld:In beide gevallen is het eindresultaat een zwart gat. GRBs gloeien na in röntgenstraling, zichtbaar licht en radiostraling. De positie van een GRB kan bepaald worden met de röntgenstraling, die snel na het begin van de GRB optreedt. De atmosfeer absorbeert gammastraling uit de ruimte, dus ook gammaflitsen. Waarnemingen hiervan vinden plaats vanuit satellieten. Het kan belangrijk zijn om de waarneming van een gammaflits in realtime door te geven aan andere observatoria zodat men zijn waarnemingen tegelijk of kort erna kan concentreren op het betreffende deel van de hemel, en zo de gammaflits of verwante fenomenen kan waarnemen.",Een gammaflits of gamma-ray burst (GRB) is een heftige uitbarsting van hoogenergetische gammastraling en duurt van enkele milliseconden tot enkele minuten. Men heeft geconcludeerd dat de waargenomen gammaflitsen afkomstig waren van verre sterrenstelsels. Tijdens de flits is de energie-uitstoot honderden malen meer dan de straling die afkomstig is van een supernova-uitbarsting. In beide gevallen is het eindresultaat een zwart gat.,een gammaflits of gamma-ray burst (GRB) is een heftige uitbarsting van hoogenergetische gammastraling en duurt van enkele milliseconden tot enkele minuten. men heeft geconcludeerd dat de waargenomen gammaflitsen af
County_Laois,"Laois (uitgesproken als Lie:sj), vroeger ook bekend onder de namen Laoighis en Leix, is een graafschap in het midden van Ierland, in de provincie Leinster. De oppervlakte is 1719 km 2, en het heeft een inwonertal (2002) van 58.774. Het graafschap werd gesticht door koningin Maria I van Engeland als het ""Graafschap van de Koningin"" met de naam ""Queen's County"". Laois kreeg zijn huidige naam na de Anglo-Ierse oorlog. De Engelse schrijfwijze is Leix. Portlaoise is de hoofdstad van het graafschap. Op de Ierse nummerplaten staat Laois afgekort tot LS. De sportkleuren van het graafschap zijn blauw en wit.","Laois (uitgesproken als Lie:sj), vroeger ook bekend onder de namen Laoighis en Leix, is een graafschap in het midden van Ierland, in de provincie Leinster. De oppervlakte is 1719 km2, en het heeft een inwonertal (2011) van 80.559. Het graafschap werd gesticht door koningin Maria I van Engeland als Queen's County (\""Graafschap van de Koningin\""). Laois kreeg zijn huidige naam na de Anglo-Ierse oorlog. De Engelse schrijfwijze is Leix. Portlaoise is de hoofdstad van het graafschap. Op Ierse kentekenplaten wordt Laois afgekort tot LS.De sportkleuren van het graafschap zijn blauw en wit.","Laois (uitgesproken als Lie:sj), vroeger ook bekend onder de namen Laoighis en Leix, is een graafschap in het midden van Ierland, in de provincie Leinster. het graafschap werd gesticht door koningin Maria I van Engeland al"
Information_Technology_Infrastructure_Library,"Information Technology Infrastructure Library, meestal afgekort tot ITIL, is ontwikkeld als een referentiekader voor het inrichten van de beheerprocessen binnen een ICT-organisatie. ITIL is geen methode of model, maar eerder een reeks van best practices (de beste praktijkoplossingen) en concepten. Het resultaat van procesimplementatie met behulp van ITIL is vergelijkbaar met de ISO 9000-regulering in de niet-ICT-branche, waarbij alle onderdelen van de organisatie zijn beschreven en in een bepaalde hiërarchie qua bevoegdheid/verantwoordelijkheid zijn gerangschikt.","Information Technology Infrastructure Library, meestal afgekort tot ITIL, is ontwikkeld als een referentiekader voor het inrichten van de beheerprocessen binnen een ICT-organisatie. ITIL is geen methode of model, maar eerder een reeks van best practices (beste praktijkoplossingen) en concepten, om te zorgen dat een (IT-)dienstverlener zijn werk efficiënt en effectief kan verrichten, en op die manier waardevol is voor zijn klanten en andere ketenpartners. Het resultaat van procesimplementatie met behulp van ITIL is vergelijkbaar met de ISO 9000-regulering in de niet-ICT-branche, waarbij alle onderdelen van de organisatie zijn beschreven en in een bepaalde hiërarchie qua bevoegdheid/verantwoordelijkheid zijn gerangschikt. Sinds het ontstaan van ITIL in de jaren 80 is ITIL verschillende malen","ITIL is een referentiekader voor het inrichten van de beheerprocessen binnen een ICT-organisatie. ITIL is geen methode of model, maar eerder een reeks van best practices (de beste praktijkoplossingen) en concepts."
Commutativiteit,"Het wiskundige begrip commutativiteit betekent intuïtief dat bij een bewerking die wordt toegepast op twee objecten, de volgorde van beide objecten gewijzigd mag worden zonder dat dit gevolgen heeft voor het eindresultaat. Het is een fundamentele eigenschap in veel takken van de wiskunde. Veel bewijzen gaan van deze eigenschap uit. Lange tijd werd de commutativiteit van eenvoudige operaties impliciet aangenomen en had de eigenschap geen naam, totdat de wiskundigen in de negentiende eeuw zijn begonnen de wiskunde formeel vast te leggen.","De term \""commutatief\"" wordt in een aantal verschillende contexten gebruikt. 1. Een binaire operatie op een verzameling wordt commutatief genoemd als voor alle elementen geldt: Een operatie die niet voldoet aan deze eigenschap wordt niet-commutatief genoemd 2. Een binaire functie wordt commutatief, of symmetrisch, genoemd, als voor alle elementen geldt: In het algemeen zegt men dat twee elementen en commuteren onder de operatie , als ze aan bovenstaande identiteit voldoen. De operatie is commutatief als elk willekeurig tweetal elementen met elkaar commuteert.","het wiskundige begrip commutativiteit betekent intu<unk>tief dat bij een bewerking die wordt toegepast op twee objecten, de volgorde van beide objecten gewijzigd mag worden zonder dat dit gevolgen heeft voor het eindresultaat."
Evzone,"Evzonen ( Grieks: Εύζωνες, enkv. Ευζώνοι) (letterlijk goed gekleden) is de naam van het keurkorps van ceremoniële wachters van de Griekse president. Zij houden de erewacht onder andere voor het Griekse parlementsgebouw op het Syntagmaplein in Athene. Het korps der Evzonen is oorspronkelijk ontstaan als koninklijke lijfwacht onder Otto I. Hun opvallende uniform is een verwijzing naar de traditionele herderskleding van de kleften, de vrijheidsstrijders in de Griekse onafhankelijkheidsoorlog. Het werd zo populair dat het nu internationaal bekend is als nationaal symbool voor Griekenland (zoals de Beefeaters voor het Verenigd Koninkrijk). De Evzonen-outfit bestaat uit volgende elementen:In de praktijk dragen de Evzonen het beschreven uniform enkel op zondag en voor plechtige en feestelijke aangelegenheden. Op doordeweekse dagen zie je ze met een eenvoudiger uniform in donkerblauw of kaki, maar alleszins toch met tsarouchia, fesi en foustanella.","Evzonen (Grieks: Εύζωνες, enkv. Εύζωνος) (letterlijk goed gekleden) is de naam van het keurkorps van ceremoniële wachters van de Griekse president. Zij houden de erewacht onder andere voor het Griekse parlementsgebouw op het Syntagmaplein in Athene. De Evzonen-outfit bestaat uit volgende elementen: In de praktijk dragen de Evzonen het beschreven uniform enkel op zondag en voor plechtige en feestelijke aangelegenheden. Op doordeweekse dagen zie je ze met een eenvoudiger uniform in donkerblauw of kaki, maar alleszins toch met tsarouchia, fesi en foustanella.","het korps der Evzonen is oorspronkelijk ontstaan als koninklijke lijfwacht onder Otto I. het opvallende uniform is een verwijzing naar de traditionele herderskleding van de kleften, de vrijheidsstrijders in de "
Geschiedenis_van_Denemarken,"Denemarken was van de 9e eeuw tot de 11e eeuw (de periode van de Vikingen) een grootmacht, met Jutland, Seeland, en het zuidelijke deel van het huidige Zweden als basis. In het begin van de 11e eeuw was koning Knoet I gedurende 19 jaar koning van Denemarken en van Engeland, en daarnaast korte tijd koning van Noorwegen.",De geschiedenis van Denemarken kan worden verdeeld in verschillende perioden:,"Denemarken was van de 9e eeuw tot de 11e eeuw (de periode van de Vikingen) een grootmacht, met Jutland, Seeland, en het zuidelijke deel van het huidige Zweden als basis."
628,Het jaar 628 is het 28e jaar in de 7e eeuw volgens de christelijke jaartelling.,Het jaar 628 is het 28e jaar in de 7e eeuw volgens de christelijke jaartelling.,het jaar 628 is het 28e jaar in de 7e eeuw volgens de christiane jaartelling. het jaar 628 is het 28e jaar in de 7e eeuw.
Joemjaagin_Tsedenbal,"Joemjaagin Tsedenbal ( Mongools: Юмжаагийн Цэдэнбал) ( Uvs, 17 september 1916 – Moskou, 24 april 1991) was een politicus uit Buiten-Mongolië (d.i. de soevereine staat Mongolië). Hij sloot zich aan bij de Mongoolse Revolutionaire Volkspartij (MPRP). Op 8 april 1940 werd Tsedenbal secretaris-generaal van de MPRP (tot 1954). Op dat moment werd Mongolië geregeerd door de stalinistische maarschalk Chorloogijn Tsjoibalsan. Na de dood van Tsjoibalsan in januari 1952 werd Tsedenbal in mei van dat jaar minister-president. Hij voerde sindsdien een gematigd socialistische koers en maakte een einde aan het Stalinisme in Mongolië. In 1958 veroordeelde hij de stalinistische excessen en de persoonsverheerlijking van maarschalk Tsjoibalsan. Hij werd sindsdien gezien als de Mongoolse Nikita Chroesjtsjov. Op 22 november 1958 werd Tsedenbal opnieuw gekozen tot secretaris van het Centraal Comité van de MPRP (deze post verving de post van secretaris-generaal van de MPRP). In 1974 verwisselde Tsedenbal het premierschap voor het voorzitterschap van het Presidium van de Staats Hural (dat wil zeggen staatshoofd). In 1981 werd Tsedenbal herkozen als partijsecretaris, maar in augustus 1984 werd hij vervangen door Jambyn Batmönh. Tsedenbal overleed in 1991.","Joemjaagin Tsedenbal (Mongools: Юмжаагийн Цэдэнбал) (Uvs, 17 september 1916 – Moskou, 24 april 1991) was een politicus uit de Volksrepubliek Mongolië.","Joemjaagin Tsedenbal (uvs, 17 september 1916 – Moskou, 24 april 1991) was een politicus uit Buiten-Mongoli<unk> (d.i. de soevereine staat Mongoli<unk>) hij sloot zich aan bij de Mongoolse Revolutionaire Volkspartij ("
Postbus,"Een postbus is een voorziening in veel landen om postzendingen op te slaan, die door de geadresseerde wordt gehuurd. De bijbehorende dienst van het postbedrijf voorziet de gebruiker van een afsluitbare kast of opslag van grotere hoeveelheden in de daaraan grenzende centrale ruimte. Aan een speciale balie kunnen de apart opgeslagen stukken tijdens kantoortijden worden opgehaald. Vroeger vond dit uitsluitend op het postkantoor plaats, tegenwoordig worden postbussen ook in daarvoor bedoelde gebouwen (veelal op industrieterreinen) ingericht. In Nederland is de functie van postkantoren overgenomen door winkels en PostNL Marketing & Sales B.V., die postbussen exploiteert, plaatst deze veelal in supermarkten en winkelcentra. Iedere postbus heeft een nummer, dat tegelijk het postadres vormt. Een postbusnummer bestaat uit minimaal één en maximaal vijf cijfers.De adressering van de meeste postbussystemen ziet er als volgt uit:Postbussen worden voornamelijk door bedrijven gehuurd omdat die veel post ontvangen. Wie een postbus huurt krijgt, na legitimatie, de sleutels van de kast en kan de post in de postbus laten bezorgen.Als verzender van een poststuk, is het niet mogelijk deze zelf in een postbus te doen. Er zullen altijd portokosten betaald moeten worden. De voordelen van een postbus zijn onder meer de volgende:","Een postbus is een voorziening in veel landen om postzendingen op te slaan, die door de geadresseerde wordt gehuurd. De bijbehorende dienst van het postbedrijf voorziet de gebruiker van een afsluitbare kast of opslag van grotere hoeveelheden in de daaraan grenzende centrale ruimte. Aan een speciale balie kunnen de apart opgeslagen stukken tijdens kantoortijden worden opgehaald. Vroeger vond dit uitsluitend op het postkantoor plaats, tegenwoordig worden postbussen ook in daarvoor bedoelde gebouwen (veelal op industrieterreinen) ingericht. In Nederland is de functie van postkantoren overgenomen door winkels en PostNL Marketing & Sales B.V., die postbussen exploiteert, plaatst deze veelal in supermarkten en winkelcentra.","een postbus is een voorziening in veel landen om postzendingen op te slaan, die door de geadresseerde wordt gehuurd."
Tom_Stoppard,"Tom Stoppard, OM, CBE, geboren als Tomáš Straussler (Zlín (Tsjecho-Slowakije), 3 juli 1937) is een Brits toneelschrijver.","Tom Stoppard, geboren als Tomáš Straussler (Zlín, 3 juli 1937), is een Brits toneelschrijver.","stoppard was born as tomá<unk> straussler in zl<unk>n (tsjecho-slowakije), <unk>l<unk>n (tsjecho-slowakije), 3 juli 1937. stoppard is een Brits toneelschrijver."
Forensische_geneeskunde,"Forensische of gerechtelijke geneeskunde is de tak van geneeskunde die medische kennis toepast ten behoeve van rechtszaken en justitieel onderzoek. Het is een vorm van forensisch onderzoek. Het vak wordt uitgeoefend door de forensisch arts, ook wel forensisch geneeskundige of gemeentelijk lijkschouwer genaamd. De laatste benaming is overigens niet geheel correct, omdat de uitwendige lijkschouw slechts één van de deeltaken is van de forensisch arts. Er is een speciale opleiding tot forensisch arts bij de NSPOH. Zowel de KNMG als het Forensisch Medisch Genootschap (FMG) houdt een register bij van forensisch artsen. Het specialisme omvat 4 onderdelen: medische zorg, medische advisering, sporenonderzoek en lijkschouw. Het eerste onderdeel richt zich vooral op de medische behandeling van de verdachte, arrestant of gevangene maar de andere onderdelen zijn vooral gericht op het opsporen van (strafbare) feiten. De forensisch arts moet vaak vragen beantwoorden als:Belangrijke onderwerpen voor de forensische arts zijn met name toxicologie, anatomie, kennis van wapens en de daardoor veroorzaakte verwondingen en bloedsporen, ontbindingsprocessen en kennis van verslaving. In de forensische psychiatrie moet vaak de vraag beantwoord worden of en in welke mate een verdachte toerekeningsvatbaar is.","Forensische of gerechtelijke geneeskunde is in Nederland de tak van geneeskunde die medische kennis toepast ten behoeve van rechtszaken en justitieel onderzoek. Het is een vorm van forensisch onderzoek. Het specialisme omvat 4 onderdelen: medische zorg, medische advisering, sporenonderzoek en lijkschouw. Het eerste onderdeel richt zich vooral op de medische behandeling van de verdachte, arrestant of gevangene maar de andere onderdelen zijn vooral gericht op het opsporen van (strafbare) feiten.",forensische of gerechtelijke geneeskunde is de tak van geneeskunde die medische kennis toepast ten behoeve van rechtszaken en justitieel onderzoek. Er is een speciale opleiding tot forensisch arts bij de NSPOH.
Joelfeest,"Het Joelfeest is het Germaanse zonnewendefeest. Het duurt twaalf dagen, waarvan de kortste dag van het jaar de belangrijkste is. Men ontsteekt Joelvuren.","Het joelfeest is het Scandinavisch Winterzonnewendefeest, waarvan verondersteld wordt dat het Germaanse wortels heeft. Het feest valt in de periode aansluit bij kortste dag van het jaar. In deze periode worden joelvuren ontstoken.","het Joelfeest is het Germaanse zonnewendefeest. het duurt twaalf dagen, waarvan de kortste dag van het jaar de belangrijkste is."
Gevgelija,"Gevgelija ( Macedonisch: Гевгелија) is een stad in het zuidoosten van Macedonië. De gemeente heeft 22.988 inwoners (2002). De stad ligt aan de voet van de berg Kožuv, naast de rivier de Vardar. Het ligt 3 kilometer van de grens met Griekenland en 55 meter boven zeeniveau. Gevgelija heeft de hoogste temperatuur van het land. Het is bekend om zijn zijderupsen waarvan de zijde in de rest van het land gebruikt wordt om textiel mee te produceren.",Gevgelija (Macedonisch: Гевгелија; [ɡɛvˈɡɛlija]) is een stad met 15.685 (2002) inwoners in het zuidoosten van Noord-Macedonië aan de oevers van de Vardar. De stad ligt aan de directe grens met Griekenland bij het plaatsje Eidomeni.,gevgelija is een stad in het zuidoosten van Macedoni<unk>. de gemeente heeft 22.988 inwoners (2002). gevgelija heeft de hoogste temperatuur van het land.
