url,abstract,short_abstract,BART_sum
Jens_Jacob_Worsaae,"Jens Jacob Asmussen Worsaae (Vejle, 14 maart 1821 – Kopenhagen, 15 augustus 1885) was een Deens archeoloog.Jens Jacob Worsaae was de belangrijkste leerling van Christian Jürgensen Thomsen en staat bekend als 'de eerste professionele archeoloog'. In 1840 publiceerde hij stratigrafische en andere bewijzen die Thomsens drieperiodensysteem bevestigden, en bepaalde van vele voorwerpen de periode waartoe ze behoorden. Worsaee richtte zijn aandacht op de opeenhopingen van oesterschelpen die in die tijd op diverse plaatsen in Denemarken werden aangetroffen. Hiertussen werden vaak vreemd gevormde benen voorwerpen, potscherven en vuurstenen gevonden. Worsaae nam aan dat deze opeenhopingen afvalhopen van prehistorische mensen waren. Omdat de stenen voorwerpen veel minder geraffineerd waren dan die in Thomsens collectie, stamden ze waarschijnlijk uit een nog oudere periode dan Thomsens steentijd. Onderzoek toonde aan dat Worsaaes hypothese correct was, waarna zich een discussie ontspon over de vraag of deze daadwerkelijk, zoals Worsaae aannam, uit een ouder deel van de steentijd kwamen, of dat ze, zoals anderen beargumenteerden, tijdelijke woonplaatsen waren van steentijdmensen die hun voorwerpen van hogere kwaliteit elders hadden achtergelaten. De discussie werd in Worsaaes voordeel beslecht tijdens een gezamenlijke opgraving in aanwezigheid van koning Frederik VII in 1861. De 'afvalhopencultuur' van Worsaae staat nu bekend als deel van het paleolithicum of Oude Steentijd.","Jens Jacob Asmussen Worsaae (Vejle, 14 maart 1821 – Kopenhagen, 15 augustus 1885) was een Deens archeoloog. Jens Jacob Worsaae was de belangrijkste leerling van Christian Jürgensen Thomsen en staat bekend als 'de eerste professionele archeoloog'. In 1840 publiceerde hij stratigrafische en andere bewijzen die Thomsens drieperiodensysteem bevestigden, en bepaalde van vele voorwerpen de periode waartoe ze behoorden.","summarize: Jens Jacob Asmussen Worsaae (Vejle, 14 martie 1821 – Kopenhagen, 15 august 1885) a fost arheolog olandez. Jens Jacob Worsaae a fost cel mai important învăţător al lui Christian Jürgensen Thomsen şi este cunoscut drept ""primul arheolog profesionist”. În 1840 a publicat dovezi stratigrafice şi de altă natură pe care Thomsens le-a confirmat în sistemul de trei perioade şi"
Gammaflits,"Een gammaflits of gamma-ray burst (GRB) is een heftige uitbarsting van hoogenergetische gammastraling en duurt van enkele milliseconden tot enkele minuten. Men heeft geconcludeerd dat de waargenomen gammaflitsen afkomstig waren van verre sterrenstelsels. Tijdens de flits is de energie-uitstoot honderden malen meer dan de straling die afkomstig is van een supernova-uitbarsting. Men neemt aan dat de meeste waargenomen GRBs twee smalle bundels straling uitzenden in tegengestelde richtingen, waarvan er één toevallig in onze richting is. Dit betekent enerzijds dat er veel soortgelijke gebeurtenissen plaatsvinden die we niet waarnemen omdat geen van beide bundels naar ons toe gericht is, en anderzijds maakt het bij een gegeven hoeveelheid totale stralingsenergie de mogelijkheid van waarneembaarheid groter als één van de bundels toevallig wel in onze richting is. Tot omstreeks 2003 waren de flitsen een mysterie in de astronomie - meer dan honderd theorieën waren ter verklaring bedacht. Hoewel veel details nog ter discussie staan, zijn onderzoekers het de laatste jaren grotendeels eens geworden over het volgende beeld:In beide gevallen is het eindresultaat een zwart gat. GRBs gloeien na in röntgenstraling, zichtbaar licht en radiostraling. De positie van een GRB kan bepaald worden met de röntgenstraling, die snel na het begin van de GRB optreedt. De atmosfeer absorbeert gammastraling uit de ruimte, dus ook gammaflitsen. Waarnemingen hiervan vinden plaats vanuit satellieten. Het kan belangrijk zijn om de waarneming van een gammaflits in realtime door te geven aan andere observatoria zodat men zijn waarnemingen tegelijk of kort erna kan concentreren op het betreffende deel van de hemel, en zo de gammaflits of verwante fenomenen kan waarnemen.",Een gammaflits of gamma-ray burst (GRB) is een heftige uitbarsting van hoogenergetische gammastraling en duurt van enkele milliseconden tot enkele minuten. Men heeft geconcludeerd dat de waargenomen gammaflitsen afkomstig waren van verre sterrenstelsels. Tijdens de flits is de energie-uitstoot honderden malen meer dan de straling die afkomstig is van een supernova-uitbarsting. In beide gevallen is het eindresultaat een zwart gat.,summarize: Un gammaflits of gamma-ray burst ( GRB) este o explozie violentă a radiografiilor înaltenergetice şi durează de la câteva secunde la câteva minute. S-a ajuns la concluzia că radiografiile produse de GRB provin din sirenele îndepărtate. În timpul exploziei radiografiile consumă mai multă energie decât radiografiile produse de supernovaţii. S-a ajuns la concluzia că
County_Laois,"Laois (uitgesproken als Lie:sj), vroeger ook bekend onder de namen Laoighis en Leix, is een graafschap in het midden van Ierland, in de provincie Leinster. De oppervlakte is 1719 km 2, en het heeft een inwonertal (2002) van 58.774. Het graafschap werd gesticht door koningin Maria I van Engeland als het ""Graafschap van de Koningin"" met de naam ""Queen's County"". Laois kreeg zijn huidige naam na de Anglo-Ierse oorlog. De Engelse schrijfwijze is Leix. Portlaoise is de hoofdstad van het graafschap. Op de Ierse nummerplaten staat Laois afgekort tot LS. De sportkleuren van het graafschap zijn blauw en wit.","Laois (uitgesproken als Lie:sj), vroeger ook bekend onder de namen Laoighis en Leix, is een graafschap in het midden van Ierland, in de provincie Leinster. De oppervlakte is 1719 km2, en het heeft een inwonertal (2011) van 80.559. Het graafschap werd gesticht door koningin Maria I van Engeland als Queen's County (\""Graafschap van de Koningin\""). Laois kreeg zijn huidige naam na de Anglo-Ierse oorlog. De Engelse schrijfwijze is Leix. Portlaoise is de hoofdstad van het graafschap. Op Ierse kentekenplaten wordt Laois afgekort tot LS.De sportkleuren van het graafschap zijn blauw en wit.","summarize: Laois (cunoscut anterior sub numele de Lie:sj), era cunoscut şi sub numele de Laoighis şi Leix, este un graafschap în mijlocul Irlandei, în provincia Leinster, cu o suprafaţă de 1719 km 2, şi are o suprafaţă de 58.774 de locuitori (2002). Acest graafschap a fost gesticulat de către regina Maria I din Anglia sub numele de ""Graafschap al"
Information_Technology_Infrastructure_Library,"Information Technology Infrastructure Library, meestal afgekort tot ITIL, is ontwikkeld als een referentiekader voor het inrichten van de beheerprocessen binnen een ICT-organisatie. ITIL is geen methode of model, maar eerder een reeks van best practices (de beste praktijkoplossingen) en concepten. Het resultaat van procesimplementatie met behulp van ITIL is vergelijkbaar met de ISO 9000-regulering in de niet-ICT-branche, waarbij alle onderdelen van de organisatie zijn beschreven en in een bepaalde hiërarchie qua bevoegdheid/verantwoordelijkheid zijn gerangschikt.","Information Technology Infrastructure Library, meestal afgekort tot ITIL, is ontwikkeld als een referentiekader voor het inrichten van de beheerprocessen binnen een ICT-organisatie. ITIL is geen methode of model, maar eerder een reeks van best practices (beste praktijkoplossingen) en concepten, om te zorgen dat een (IT-)dienstverlener zijn werk efficiënt en effectief kan verrichten, en op die manier waardevol is voor zijn klanten en andere ketenpartners. Het resultaat van procesimplementatie met behulp van ITIL is vergelijkbaar met de ISO 9000-regulering in de niet-ICT-branche, waarbij alle onderdelen van de organisatie zijn beschreven en in een bepaalde hiërarchie qua bevoegdheid/verantwoordelijkheid zijn gerangschikt. Sinds het ontstaan van ITIL in de jaren 80 is ITIL verschillende malen","summarize: Biblioteca pentru Infrastructura Tehnologică a Informaţiilor, de obicei desemnată ITIL, este dezvoltată ca un referentiekader pentru înfiinţarea proceselor de administrare în cadrul unei organizaţii TIC. ITIL nu este o metodă de model, dar eerder o serie de bune practici (cele mai bune soluţii practice) şi concepte. Rezultatul implementării procesului cu ajutorul ITIL este comparabil cu reglementarea ISO 9000 în"
Commutativiteit,"Het wiskundige begrip commutativiteit betekent intuïtief dat bij een bewerking die wordt toegepast op twee objecten, de volgorde van beide objecten gewijzigd mag worden zonder dat dit gevolgen heeft voor het eindresultaat. Het is een fundamentele eigenschap in veel takken van de wiskunde. Veel bewijzen gaan van deze eigenschap uit. Lange tijd werd de commutativiteit van eenvoudige operaties impliciet aangenomen en had de eigenschap geen naam, totdat de wiskundigen in de negentiende eeuw zijn begonnen de wiskunde formeel vast te leggen.","De term \""commutatief\"" wordt in een aantal verschillende contexten gebruikt. 1. Een binaire operatie op een verzameling wordt commutatief genoemd als voor alle elementen geldt: Een operatie die niet voldoet aan deze eigenschap wordt niet-commutatief genoemd 2. Een binaire functie wordt commutatief, of symmetrisch, genoemd, als voor alle elementen geldt: In het algemeen zegt men dat twee elementen en commuteren onder de operatie , als ze aan bovenstaande identiteit voldoen. De operatie is commutatief als elk willekeurig tweetal elementen met elkaar commuteert.","summarize: Het wiskundige begrip commutativitate înseamnă intuïtief că Bij een bewerking care se aplică pe două obiecte, ordinea celor două obiecte trebuie modificată fără ca acest lucru să aibă consecinţe pentru rezultatul final. Het is een fundamentele proprieschap in veel takken van wiskunde. Multe avertismente gaan van deze proprieschap uit. Lange tijd werd commutativitatea operaţiilor simple impliciet preluată şi avea proprietatea"
Evzone,"Evzonen ( Grieks: Εύζωνες, enkv. Ευζώνοι) (letterlijk goed gekleden) is de naam van het keurkorps van ceremoniële wachters van de Griekse president. Zij houden de erewacht onder andere voor het Griekse parlementsgebouw op het Syntagmaplein in Athene. Het korps der Evzonen is oorspronkelijk ontstaan als koninklijke lijfwacht onder Otto I. Hun opvallende uniform is een verwijzing naar de traditionele herderskleding van de kleften, de vrijheidsstrijders in de Griekse onafhankelijkheidsoorlog. Het werd zo populair dat het nu internationaal bekend is als nationaal symbool voor Griekenland (zoals de Beefeaters voor het Verenigd Koninkrijk). De Evzonen-outfit bestaat uit volgende elementen:In de praktijk dragen de Evzonen het beschreven uniform enkel op zondag en voor plechtige en feestelijke aangelegenheden. Op doordeweekse dagen zie je ze met een eenvoudiger uniform in donkerblauw of kaki, maar alleszins toch met tsarouchia, fesi en foustanella.","Evzonen (Grieks: Εύζωνες, enkv. Εύζωνος) (letterlijk goed gekleden) is de naam van het keurkorps van ceremoniële wachters van de Griekse president. Zij houden de erewacht onder andere voor het Griekse parlementsgebouw op het Syntagmaplein in Athene. De Evzonen-outfit bestaat uit volgende elementen: In de praktijk dragen de Evzonen het beschreven uniform enkel op zondag en voor plechtige en feestelijke aangelegenheden. Op doordeweekse dagen zie je ze met een eenvoudiger uniform in donkerblauw of kaki, maar alleszins toch met tsarouchia, fesi en foustanella.","summarize: Evzonen (grecii: Eύζωνες, enkv. Ευζώνοι) (scris bine gekleden) este numele keurkorpsului martorilor ceremoniali ai preşedintelui grec. Ei ţin erewacht sub alte cuvinte pentru clădirea parlamentului grec de la Syntagmaplein din Atena. korpsul der Evzonen a fost creat iniţial ca erewacht constând din ierni regale sub Otto"
Geschiedenis_van_Denemarken,"Denemarken was van de 9e eeuw tot de 11e eeuw (de periode van de Vikingen) een grootmacht, met Jutland, Seeland, en het zuidelijke deel van het huidige Zweden als basis. In het begin van de 11e eeuw was koning Knoet I gedurende 19 jaar koning van Denemarken en van Engeland, en daarnaast korte tijd koning van Noorwegen.",De geschiedenis van Denemarken kan worden verdeeld in verschillende perioden:,"summarize: Denemarken a fost din secolul 9 până în secolul 11 (perioada Vikingen) un grootmacht, cu Jutland, Seeland, şi het zuidelijke deel van het huidige Zweden ca bază. La începutul secolului 11 a fost koning Knoet I gedurende 19 ani koning al Denemarken şi al Angliei, şi daarnaast korte tijd koning al Noorwegen."
628,Het jaar 628 is het 28e jaar in de 7e eeuw volgens de christelijke jaartelling.,Het jaar 628 is het 28e jaar in de 7e eeuw volgens de christelijke jaartelling.,summarize: Het year 628 este het 28e an in de 7e eeuw volgens de christelijke Yeartelling.-----(Portugalia) - (Portugalia)-
Joemjaagin_Tsedenbal,"Joemjaagin Tsedenbal ( Mongools: Юмжаагийн Цэдэнбал) ( Uvs, 17 september 1916 – Moskou, 24 april 1991) was een politicus uit Buiten-Mongolië (d.i. de soevereine staat Mongolië). Hij sloot zich aan bij de Mongoolse Revolutionaire Volkspartij (MPRP). Op 8 april 1940 werd Tsedenbal secretaris-generaal van de MPRP (tot 1954). Op dat moment werd Mongolië geregeerd door de stalinistische maarschalk Chorloogijn Tsjoibalsan. Na de dood van Tsjoibalsan in januari 1952 werd Tsedenbal in mei van dat jaar minister-president. Hij voerde sindsdien een gematigd socialistische koers en maakte een einde aan het Stalinisme in Mongolië. In 1958 veroordeelde hij de stalinistische excessen en de persoonsverheerlijking van maarschalk Tsjoibalsan. Hij werd sindsdien gezien als de Mongoolse Nikita Chroesjtsjov. Op 22 november 1958 werd Tsedenbal opnieuw gekozen tot secretaris van het Centraal Comité van de MPRP (deze post verving de post van secretaris-generaal van de MPRP). In 1974 verwisselde Tsedenbal het premierschap voor het voorzitterschap van het Presidium van de Staats Hural (dat wil zeggen staatshoofd). In 1981 werd Tsedenbal herkozen als partijsecretaris, maar in augustus 1984 werd hij vervangen door Jambyn Batmönh. Tsedenbal overleed in 1991.","Joemjaagin Tsedenbal (Mongools: Юмжаагийн Цэдэнбал) (Uvs, 17 september 1916 – Moskou, 24 april 1991) was een politicus uit de Volksrepubliek Mongolië.","summarize: Joemjaagin Tsedenbal ( Mongools: Юмжаагийн Цэдэнбал) (Uvs, 17 septembrie 1916 – Moskou, 24 aprilie 1991) a fost un politician din Buiten-Mongolië (d.i. soevereine staat Mongolië). El s-a alăturat Partidului Revoluţionar Popular Mongol (MPRP). La 8 aprilie 1940 a devenit Tseden"
Postbus,"Een postbus is een voorziening in veel landen om postzendingen op te slaan, die door de geadresseerde wordt gehuurd. De bijbehorende dienst van het postbedrijf voorziet de gebruiker van een afsluitbare kast of opslag van grotere hoeveelheden in de daaraan grenzende centrale ruimte. Aan een speciale balie kunnen de apart opgeslagen stukken tijdens kantoortijden worden opgehaald. Vroeger vond dit uitsluitend op het postkantoor plaats, tegenwoordig worden postbussen ook in daarvoor bedoelde gebouwen (veelal op industrieterreinen) ingericht. In Nederland is de functie van postkantoren overgenomen door winkels en PostNL Marketing & Sales B.V., die postbussen exploiteert, plaatst deze veelal in supermarkten en winkelcentra. Iedere postbus heeft een nummer, dat tegelijk het postadres vormt. Een postbusnummer bestaat uit minimaal één en maximaal vijf cijfers.De adressering van de meeste postbussystemen ziet er als volgt uit:Postbussen worden voornamelijk door bedrijven gehuurd omdat die veel post ontvangen. Wie een postbus huurt krijgt, na legitimatie, de sleutels van de kast en kan de post in de postbus laten bezorgen.Als verzender van een poststuk, is het niet mogelijk deze zelf in een postbus te doen. Er zullen altijd portokosten betaald moeten worden. De voordelen van een postbus zijn onder meer de volgende:","Een postbus is een voorziening in veel landen om postzendingen op te slaan, die door de geadresseerde wordt gehuurd. De bijbehorende dienst van het postbedrijf voorziet de gebruiker van een afsluitbare kast of opslag van grotere hoeveelheden in de daaraan grenzende centrale ruimte. Aan een speciale balie kunnen de apart opgeslagen stukken tijdens kantoortijden worden opgehaald. Vroeger vond dit uitsluitend op het postkantoor plaats, tegenwoordig worden postbussen ook in daarvoor bedoelde gebouwen (veelal op industrieterreinen) ingericht. In Nederland is de functie van postkantoren overgenomen door winkels en PostNL Marketing & Sales B.V., die postbussen exploiteert, plaatst deze veelal in supermarkten en winkelcentra.","summarize: Un birou de poştă este o facilitate în multe ţări pentru depozitarea expedierilor de poştă, care sunt închiriate de către persoana care le adresează. Funcţia deţinută de serviciul poştal prevede utilizarea unei cabine de depozitare a unor cantităţi mai mari în spaţiul central care leagă. Într-o bară specială pot fi ridicate bucăţile separate depuse în timpul"
Tom_Stoppard,"Tom Stoppard, OM, CBE, geboren als Tomáš Straussler (Zlín (Tsjecho-Slowakije), 3 juli 1937) is een Brits toneelschrijver.","Tom Stoppard, geboren als Tomáš Straussler (Zlín, 3 juli 1937), is een Brits toneelschrijver.","rezumat: Tom Stoppard, OM, CBE, născut ca Tomáš Straussler (Zlín (Tsjecho-Slowakije), 3 iulie 1937) este un dramaturg britanic."
