"url","abstract","T5","BART","BART-CNN"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"2003","2003 ( MMIII)was a common year starting on Wednesday of the Gregorian calendar ( dominical letter E), the 2003rd year of the Common Era (CE) and Anno Domini (AD) designations, the 3rd year of the 3rd millennium, the 3rd year of the 21st century, and the 4th year of the 2000s decade. 2003 was designated the:","2003 ( MMIII)was a common year starting on Wednesday of the Gregorian calendar. it was the 2003rd year of the 3rd millennium, the 3rd year of the 21st century, and the 4th year of the 2000s decade.","2003 ( MMIII)was a common year starting on Wednesday of the Gregorian calendar.","2003 ( MMIII)was a common year starting on Wednesday of the Gregorian calendar."
"Language","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky. Estimates of the number of languages in the world vary between 5,000 and 7,000. However, any precise estimate depends on a partly arbitrary distinction between languages and dialects. Natural languages are spoken or signed, but any language can be encoded into secondary media using auditory, visual, or tactile stimuli – for example, in graphic writing, braille, or whistling. This is because human language is modality-independent. Depending on philosophical perspectives regarding the definition of language and meaning, when used as a general concept, ""language"" may refer to the cognitive ability to learn and use systems of complex communication, or to describe the set of rules that makes up these systems, or the set of utterances that can be produced from those rules. All languages rely on the process of semiosis to relate signs to particular meanings. Oral and sign languages contain a phonological system that governs how symbols are used to form sequences known as words or morphemes, and a syntactic system that governs how words and morphemes are combined to form phrases and utterances. Human language has the properties of productivity, recursivity, and displacement, and relies entirely on social convention and learning. Its complex structure affords a much wider range of expressions than any known system of animal communication. Language is thought to have originated when early hominins started gradually changing their primate communication systems, acquiring the ability to form a theory of other minds and a shared intentionality. This development is sometimes thought to have coincided with an increase in brain volume, and many linguists see the structures of language as having evolved to serve specific communicative and social functions. Language is processed in many different locations in the human brain, but especially in Broca's and Wernicke's areas. Humans acquire language through social interaction in early childhood, and children generally speak fluently when they are approximately three years old. The use of language is deeply entrenched in human culture. Therefore, in addition to its strictly communicative uses, language also has many social and cultural uses, such as signifying group identity, social stratification, as well as social grooming and entertainment.Languages evolve and diversify over time, and the history of their evolution can be reconstructed by comparing modern languages to determine which traits their ancestral languages must have had in order for the later developmental stages to occur. A group of languages that descend from a common ancestor is known as a language family. The Indo-European family is the most widely spoken and includes English, Spanish, Portuguese, Russian, and Hindi; the Sino-Tibetan family, which includes Mandarin Chinese, Cantonese, and many others; the Afro-Asiatic family, which includes Arabic, Amharic, Somali, and Hebrew; the Bantu languages, which include Swahili, Zulu, Shona, and hundreds of other languages spoken throughout Africa; and the Malayo-Polynesian languages, which include Indonesian, Malay, Tagalog, Malagasy, and hundreds of other languages spoken throughout the Pacific. The languages of the Dravidian family that are spoken mostly in Southern India include Tamil, Telugu, Kannada and Malayalam. Academic consensus holds that between 50% and 90% of languages spoken at the beginning of the twenty-first century will probably have become extinct by the year 2100.","linguistics is the scientific study of language, particularly the human ability to do so. estimates of the number of languages in the world vary between 5,000 and 7,000. human language has the properties of productivity, recursivity, displacement.","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky.","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky."
"Language","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky. Estimates of the number of languages in the world vary between 5,000 and 7,000. However, any precise estimate depends on a partly arbitrary distinction between languages and dialects. Natural languages are spoken or signed, but any language can be encoded into secondary media using auditory, visual, or tactile stimuli – for example, in graphic writing, braille, or whistling. This is because human language is modality-independent. Depending on philosophical perspectives regarding the definition of language and meaning, when used as a general concept, ""language"" may refer to the cognitive ability to learn and use systems of complex communication, or to describe the set of rules that makes up these systems, or the set of utterances that can be produced from those rules. All languages rely on the process of semiosis to relate signs to particular meanings. Oral and sign languages contain a phonological system that governs how symbols are used to form sequences known as words or morphemes, and a syntactic system that governs how words and morphemes are combined to form phrases and utterances. Human language has the properties of productivity, recursivity, and displacement, and relies entirely on social convention and learning. Its complex structure affords a much wider range of expressions than any known system of animal communication. Language is thought to have originated when early hominins started gradually changing their primate communication systems, acquiring the ability to form a theory of other minds and a shared intentionality. This development is sometimes thought to have coincided with an increase in brain volume, and many linguists see the structures of language as having evolved to serve specific communicative and social functions. Language is processed in many different locations in the human brain, but especially in Broca's and Wernicke's areas. Humans acquire language through social interaction in early childhood, and children generally speak fluently when they are approximately three years old. The use of language is deeply entrenched in human culture. Therefore, in addition to its strictly communicative uses, language also has many social and cultural uses, such as signifying group identity, social stratification, as well as social grooming and entertainment.Languages evolve and diversify over time, and the history of their evolution can be reconstructed by comparing modern languages to determine which traits their ancestral languages must have had in order for the later developmental stages to occur. A group of languages that descend from a common ancestor is known as a language family. The Indo-European family is the most widely spoken and includes English, Spanish, Portuguese, Russian, and Hindi; the Sino-Tibetan family, which includes Mandarin Chinese, Cantonese, and many others; the Afro-Asiatic family, which includes Arabic, Amharic, Somali, and Hebrew; the Bantu languages, which include Swahili, Zulu, Shona, and hundreds of other languages spoken throughout Africa; and the Malayo-Polynesian languages, which include Indonesian, Malay, Tagalog, Malagasy, and hundreds of other languages spoken throughout the Pacific. The languages of the Dravidian family that are spoken mostly in Southern India include Tamil, Telugu, Kannada and Malayalam. Academic consensus holds that between 50% and 90% of languages spoken at the beginning of the twenty-first century will probably have become extinct by the year 2100.","linguistics is the scientific study of language, particularly the human ability to do so. estimates of the number of languages in the world vary between 5,000 and 7,000. human language has the properties of productivity, recursivity, displacement.","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky.","Language is the ability to acquire and use complex systems of communication, particularly the human ability to do so, and a language is any specific example of such a system. The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated since Gorgias and Plato in Ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. 20th-century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky."
"1121","Year 1121 (MCXXI) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar.","year 1121 (MCXXI) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. year 1121 (MCXXI) was a common year starting on sunday (link will display the full calendar) of the Gregorian calendar.","Year 1121 (MCXXI) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar.","Year 1121 (MCXXI) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar."
"Death","Death is the termination of all biological functions that sustain a living organism. Phenomena which commonly bring about death include biological aging (senescence), predation, malnutrition, disease, suicide, homicide, starvation, dehydration, and accidents or trauma resulting in terminal injury. Bodies of living organisms begin to decompose shortly after death. Death has commonly been considered a sad or unpleasant occasion, due to the termination of bonds with or affection for the being that has died, or having fear of death, necrophobia, anxiety, sorrow, grief, emotional pain,  depression, sympathy, compassion, solitude, or saudade.","death is the termination of all biological functions that sustain a living organism. death has commonly been considered a sad or unpleasant occasion, due to termination of bonds with or affection for the being that has died.","Death is the termination of all biological functions that sustain a living organism. Phenomena which commonly bring about death include biological aging (senescence), predation, malnutrition, disease, suicide, homicide, starvation, dehydration, and accidents or trauma resulting in terminal injury. Bodies of living organisms begin to decompose shortly after death. Death has commonly been considered a sad or unpleasant occasion, due to the termination of bonds with or affection for the being that has died, or having fear of death, necrophobia, anxiety, sorrow, grief, emotional pain, depression, sympathy, compassion, solitude, or saudade.","Death is the termination of all biological functions that sustain a living organism. Phenomena which commonly bring about death include biological aging (senescence), predation, malnutrition, disease, suicide, homicide, starvation, dehydration, and accidents or trauma resulting in terminal injury. Bodies of living organisms begin to decompose shortly after death. Death has commonly been considered a sad or unpleasant occasion, due to the termination of bonds with or affection for the being that has died, or having fear of death, necrophobia, anxiety, sorrow, grief, emotional pain, depression, sympathy, compassion, solitude, or saudade."
"Health","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value and because of the problem created by use of the word ""complete""  Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction. Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.Systematic activities to prevent or cure health problems and promote good health in humans are undertaken by health care providers. Applications with regard to animal health are covered by the veterinary sciences. The term ""healthy"" is also widely used in the context of many types of non-living organizations and their impacts for the benefit of humans, such as in the sense of healthy communities, healthy cities or healthy environments. In addition to health care interventions and a person's surroundings, a number of other factors are known to influence the health status of individuals, including their background, lifestyle, and economic, social conditions, and spirituality; these are referred to as ""determinants of health."" Studies have shown that high levels of stress can affect human health.","health is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. the definition of health in its broader sense in its 1948 constitution has been subject to controversy. studies have shown that high levels of stress can affect human health.","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing"
"Health","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value and because of the problem created by use of the word ""complete""  Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction. Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.Systematic activities to prevent or cure health problems and promote good health in humans are undertaken by health care providers. Applications with regard to animal health are covered by the veterinary sciences. The term ""healthy"" is also widely used in the context of many types of non-living organizations and their impacts for the benefit of humans, such as in the sense of healthy communities, healthy cities or healthy environments. In addition to health care interventions and a person's surroundings, a number of other factors are known to influence the health status of individuals, including their background, lifestyle, and economic, social conditions, and spirituality; these are referred to as ""determinants of health."" Studies have shown that high levels of stress can affect human health.","health is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. the definition of health in its broader sense in its 1948 constitution has been subject to controversy. studies have shown that high levels of stress can affect human health.","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing"
